,10YR TIPS,10YR,Gold,Copper,JPY/USD,EUR/USD
2016-08-30,0.11,1.57,1311.699951,2.069,,
2016-08-31,0.11,1.58,1306.900024,2.0695,,
2016-09-01,0.12,1.57,1312.199951,2.0685,,
2016-09-02,0.13,1.6,1322.099976,2.0715,,
2016-09-06,0.06,1.55,1349.400024,2.084,,
2016-09-07,0.03,1.54,1344.300049,2.093,,
2016-09-08,0.09,1.61,1336.800049,2.096,,
2016-09-09,0.17,1.67,1330.099976,2.0885,,
2016-09-12,0.17,1.68,1321.0,2.096,,
2016-09-13,0.24,1.73,1319.0,2.0955,,
2016-09-14,0.21,1.7,1321.5,2.148,,
2016-09-15,0.22,1.71,1313.5,2.152,,
2016-09-16,0.19,1.7,1305.800049,2.1515,,
2016-09-19,0.2,1.7,1313.5,2.149,,
2016-09-20,0.2,1.69,1313.699951,2.1555,,
2016-09-21,0.15,1.66,1326.900024,2.145,,
2016-09-22,0.08,1.63,1340.400024,2.1875,,
2016-09-23,0.05,1.62,1337.199951,2.1925,,
2016-09-26,0.05,1.59,1339.699951,2.19,,
2016-09-27,0.04,1.56,1325.900024,2.1615,,
2016-09-28,0.01,1.57,1319.400024,2.1795,,
2016-09-29,0.02,1.56,1321.699951,2.181,,
2016-09-30,0.0,1.6,1313.300049,2.202,,
2016-10-03,0.0,1.63,1309.0,2.1835,,
2016-10-04,0.07,1.69,1266.300049,2.1585,,
2016-10-05,0.1,1.72,1265.199951,2.156,,
2016-10-06,0.11,1.75,1249.800049,2.148,,
2016-10-07,0.1,1.73,1248.900024,2.1565,,
2016-10-11,0.13,1.77,1253.0,2.1785,,
2016-10-12,0.15,1.79,1251.099976,2.1695,,
2016-10-13,0.12,1.75,1255.0,2.115,,
2016-10-14,0.13,1.8,1253.099976,2.1035,,
2016-10-17,0.09,1.77,1254.400024,2.0995,,
2016-10-18,0.09,1.75,1260.800049,2.098,,
2016-10-19,0.08,1.76,1267.900024,2.097,,
2016-10-20,0.08,1.76,1265.599976,2.0905,,
2016-10-21,0.07,1.74,1265.900024,2.0835,,
2016-10-24,0.11,1.77,1262.0,2.0875,,
2016-10-25,0.07,1.77,1271.900024,2.1325,,
2016-10-26,0.08,1.79,1264.800049,2.1395,,
2016-10-27,0.13,1.85,1267.900024,2.1655,,
2016-10-28,0.13,1.86,1275.5,2.1885,,
2016-10-31,0.11,1.84,1271.5,2.2005,,
2016-11-01,0.11,1.83,1286.400024,2.2245,,
2016-11-02,0.11,1.81,1306.800049,2.226,,
2016-11-03,0.14,1.82,1302.099976,2.2445,,
2016-11-04,0.11,1.79,1303.300049,2.261,,
2016-11-07,0.12,1.83,1278.300049,2.3065,,
2016-11-08,0.15,1.88,1273.400024,2.379,,
2016-11-09,0.25,2.07,1272.599976,2.459,,
2016-11-10,0.27,2.15,1265.5,2.5495,,
2016-11-14,0.4,2.23,1221.199951,2.5185,,
2016-11-15,0.41,2.23,1224.0,2.502,,
2016-11-16,0.39,2.22,1223.400024,2.465,,
2016-11-17,0.42,2.29,1216.5,2.4875,,
2016-11-18,0.44,2.34,1208.5,2.464,,
2016-11-21,0.42,2.33,1209.599976,2.5125,,
2016-11-22,0.41,2.31,1211.0,2.5425,,
2016-11-23,0.44,2.36,1189.099976,2.606,,
2016-11-25,0.47,2.36,1178.199951,2.667,,
2016-11-28,0.47,2.32,1190.599976,2.656,,
2016-11-29,0.44,2.3,1187.900024,2.595,,
2016-11-30,0.43,2.37,1170.800049,2.6215,,
2016-12-01,0.48,2.45,1166.900024,2.6315,,
2016-12-02,0.49,2.4,1175.099976,2.615,,
2016-12-05,0.45,2.39,1174.0,2.689,,
2016-12-06,0.44,2.39,1167.599976,2.672,,
2016-12-07,0.42,2.34,1175.0,2.637,,
2016-12-08,0.45,2.4,1169.800049,2.62,,
2016-12-09,0.51,2.47,1159.400024,2.642,,
2016-12-12,0.51,2.49,1163.5,2.613,,
2016-12-13,0.53,2.48,1156.699951,2.593,,
2016-12-14,0.6,2.54,1161.300049,2.6,,
2016-12-15,0.7,2.6,1127.800049,2.596,,
2016-12-16,0.74,2.6,1135.300049,2.561,,
2016-12-19,0.68,2.54,1140.5,2.4965,,
2016-12-20,0.67,2.57,1131.5,2.4995,,
2016-12-21,0.64,2.55,1131.099976,2.4915,,
2016-12-22,0.6,2.55,1128.800049,2.4945,,
2016-12-23,0.58,2.55,1131.900024,2.4725,,
2016-12-27,0.58,2.57,1137.300049,2.508,,
2016-12-28,0.56,2.51,1139.400024,2.495,,
2016-12-29,0.55,2.49,1156.400024,2.479,,
2016-12-30,0.5,2.45,1150.0,2.4975,,
2017-01-03,0.47,2.45,1160.400024,2.481,,
2017-01-04,0.47,2.46,1163.800049,2.548,,
2017-01-05,0.42,2.37,1179.699951,2.5295,,
2017-01-06,0.46,2.42,1171.900024,2.538,,
2017-01-09,0.43,2.38,1183.5,2.53,,
2017-01-10,0.43,2.38,1184.199951,2.6035,,
2017-01-11,0.39,2.38,1195.599976,2.601,,
2017-01-12,0.38,2.36,1198.900024,2.6605,,
2017-01-13,0.41,2.4,1195.300049,2.6805,,
2017-01-17,0.36,2.33,1212.0,2.6165,,
2017-01-18,0.42,2.42,1211.300049,2.608,,
2017-01-19,0.43,2.47,1200.900024,2.6015,,
2017-01-20,0.44,2.48,1204.300049,2.617,,
2017-01-23,0.39,2.41,1215.0,2.6395,,
2017-01-24,0.41,2.47,1210.300049,2.7005,,
2017-01-25,0.45,2.53,1197.300049,2.7025,,
2017-01-26,0.43,2.51,1189.5,2.666,,
2017-01-27,0.41,2.49,1188.099976,2.68,,
2017-01-30,0.42,2.49,1193.199951,2.6475,,
2017-01-31,0.4,2.45,1208.599976,2.7215,,
2017-02-01,0.43,2.48,1205.599976,2.7045,,
2017-02-02,0.43,2.48,1216.699951,2.678,,
2017-02-03,0.44,2.49,1218.5,2.6095,,
2017-02-06,0.4,2.42,1230.0,2.6455,,
2017-02-07,0.4,2.4,1234.199951,2.626,,
2017-02-08,0.38,2.34,1237.599976,2.6605,,
2017-02-09,0.41,2.4,1235.099976,2.648,,
2017-02-10,0.4,2.41,1234.400024,2.762,,
2017-02-13,0.43,2.43,1224.400024,2.7765,,
2017-02-14,0.46,2.47,1223.900024,2.731,,
2017-02-15,0.45,2.51,1231.699951,2.736,,
2017-02-16,0.43,2.45,1240.0,2.716,,
2017-02-17,0.41,2.42,1237.599976,2.7055,,
2017-02-21,0.4,2.43,1237.5,2.7455,,
2017-02-22,0.38,2.42,1232.0,2.7325,,
2017-02-23,0.35,2.38,1250.199951,2.6425,,
2017-02-24,0.31,2.31,1256.900024,2.68,,
2017-02-27,0.35,2.36,1257.400024,2.6875,,
2017-02-28,0.34,2.36,1252.599976,2.704,,
2017-03-01,0.43,2.46,1248.900024,2.7265,,
2017-03-02,0.48,2.49,1231.900024,2.6795,,
2017-03-03,0.45,2.49,1225.5,2.687,,
2017-03-06,0.48,2.49,1224.5,2.643,,
2017-03-07,0.49,2.52,1215.099976,2.6095,,
2017-03-08,0.56,2.57,1208.5,2.592,,
2017-03-09,0.6,2.6,1202.400024,2.57,,
2017-03-10,0.57,2.58,1200.699951,2.5865,,
2017-03-13,0.61,2.62,1202.400024,2.6165,,
2017-03-14,0.61,2.6,1201.900024,2.624,,
2017-03-15,0.5,2.51,1200.099976,2.6455,,
2017-03-16,0.51,2.53,1226.5,2.6655,,
2017-03-17,0.49,2.5,1229.800049,2.6795,,
2017-03-20,0.47,2.47,1233.599976,2.6555,,
2017-03-21,0.45,2.43,1246.099976,2.61,,
2017-03-22,0.43,2.4,1249.300049,2.622,,
2017-03-23,0.46,2.41,1246.900024,2.6365,,
2017-03-24,0.42,2.4,1248.199951,2.6235,,
2017-03-27,0.41,2.38,1255.400024,2.625,,
2017-03-28,0.45,2.42,1255.300049,2.669,,
2017-03-29,0.41,2.39,1253.400024,2.67,,
2017-03-30,0.46,2.42,1245.0,2.665,,
2017-03-31,0.43,2.4,1247.300049,2.6465,,
2017-04-03,0.39,2.35,1250.800049,2.5975,,
2017-04-04,0.4,2.36,1255.0,2.606,,
2017-04-05,0.37,2.34,1245.400024,2.6755,,
2017-04-06,0.39,2.34,1250.300049,2.6555,,
2017-04-07,0.44,2.38,1254.300049,2.645,,
2017-04-10,0.44,2.37,1251.099976,2.602,,
2017-04-11,0.41,2.32,1271.199951,2.606,,
2017-04-12,0.38,2.28,1275.300049,2.544,,
2017-04-13,0.32,2.24,1285.900024,2.5695,,
2017-04-17,0.38,2.26,1289.400024,2.595,,
2017-04-18,0.33,2.18,1291.699951,2.529,,
2017-04-19,0.36,2.21,1281.400024,2.5335,,
2017-04-20,0.39,2.24,1281.900024,2.541,,
2017-04-21,0.4,2.24,1287.400024,2.5365,,
2017-04-24,0.41,2.28,1275.800049,2.5535,,
2017-04-25,0.44,2.35,1265.599976,2.582,,
2017-04-26,0.42,2.32,1262.099976,2.591,,
2017-04-27,0.39,2.3,1263.699951,2.58,,
2017-04-28,0.37,2.29,1266.099976,2.5965,,
2017-05-01,0.41,2.33,1253.300049,2.65,,
2017-05-02,0.41,2.29,1255.099976,2.625,,
2017-05-03,0.46,2.33,1246.400024,2.533,,
2017-05-04,0.5,2.36,1226.5,2.502,,
2017-05-05,0.5,2.36,1224.800049,2.5195,,
2017-05-08,0.53,2.39,1225.300049,2.4855,,
2017-05-09,0.56,2.42,1214.300049,2.49,,
2017-05-10,0.56,2.41,1217.300049,2.487,,
2017-05-11,0.51,2.39,1222.699951,2.501,,
2017-05-12,0.49,2.33,1226.199951,2.518,,
2017-05-15,0.52,2.34,1228.599976,2.533,,
2017-05-16,0.51,2.33,1235.0,2.5445,,
2017-05-17,0.44,2.22,1257.5,2.5425,,
2017-05-18,0.43,2.23,1251.699951,2.5265,,
2017-05-19,0.41,2.23,1252.699951,2.574,,
2017-05-22,0.43,2.25,1260.699951,2.589,,
2017-05-23,0.46,2.29,1254.800049,2.5905,,
2017-05-24,0.45,2.26,1252.400024,2.578,,
2017-05-25,0.45,2.25,1255.800049,2.592,,
2017-05-26,0.44,2.25,1267.599976,2.5595,,
2017-05-30,0.4,2.21,1262.099976,2.561,,
2017-05-31,0.4,2.21,1272.0,2.577,,
2017-06-01,0.4,2.21,1267.0,2.5845,,
2017-06-02,0.36,2.15,1276.800049,2.5715,,
2017-06-05,0.39,2.18,1279.300049,2.5545,,
2017-06-06,0.37,2.14,1294.400024,2.5445,,
2017-06-07,0.4,2.18,1290.099976,2.549,,
2017-06-08,0.41,2.19,1276.300049,2.607,,
2017-06-09,0.43,2.21,1268.5,2.646,,
2017-06-12,0.46,2.21,1266.099976,2.6125,,
2017-06-13,0.46,2.21,1265.800049,2.593,,
2017-06-14,0.44,2.15,1272.800049,2.5705,,
2017-06-15,0.49,2.16,1252.199951,2.564,,
2017-06-16,0.49,2.16,1254.0,2.5625,,
2017-06-19,0.52,2.19,1244.199951,2.5895,,
2017-06-20,0.5,2.16,1241.0,2.555,,
2017-06-21,0.5,2.16,1243.400024,2.602,,
2017-06-22,0.46,2.15,1247.599976,2.598,,
2017-06-23,0.45,2.15,1256.199951,2.623,,
2017-06-26,0.43,2.14,1246.300049,2.625,,
2017-06-27,0.5,2.21,1246.400024,2.6465,,
2017-06-28,0.49,2.22,1248.0,2.662,,
2017-06-29,0.55,2.27,1244.199951,2.683,,
2017-06-30,0.58,2.31,1240.699951,2.699,,
2017-07-05,0.58,2.33,1220.400024,2.649,,
2017-07-06,0.61,2.37,1222.199951,2.6515,,
2017-07-07,0.66,2.39,1208.599976,2.6375,,
2017-07-10,0.66,2.38,1212.099976,2.6395,,
2017-07-11,0.62,2.37,1213.599976,2.6645,,
2017-07-12,0.57,2.33,1218.099976,2.677,,
2017-07-13,0.58,2.35,1216.300049,2.6545,,
2017-07-14,0.57,2.33,1226.599976,2.684,,
2017-07-17,0.54,2.31,1232.800049,2.717,,
2017-07-18,0.51,2.27,1241.099976,2.7235,,
2017-07-19,0.51,2.27,1241.199951,2.703,,
2017-07-20,0.5,2.27,1244.800049,2.7085,,
2017-07-21,0.48,2.24,1254.300049,2.715,,
2017-07-24,0.48,2.26,1253.900024,2.729,,
2017-07-25,0.52,2.33,1251.699951,2.8405,,
2017-07-26,0.49,2.29,1249.0,2.869,,
2017-07-27,0.49,2.32,1259.599976,2.874,,
2017-07-28,0.47,2.3,1268.400024,2.8705,,
2017-07-31,0.48,2.3,1266.599976,2.888,,
2017-08-01,0.47,2.26,1272.599976,2.879,,
2017-08-02,0.48,2.27,1271.800049,2.8825,,
2017-08-03,0.46,2.24,1267.800049,2.877,,
2017-08-04,0.47,2.27,1258.300049,2.885,,
2017-08-07,0.46,2.26,1258.199951,2.908,,
2017-08-08,0.46,2.29,1256.400024,2.9425,,
2017-08-09,0.42,2.24,1273.0,2.93,,
2017-08-10,0.4,2.2,1283.699951,2.906,,
2017-08-11,0.4,2.19,1287.699951,2.914,,
2017-08-14,0.45,2.22,1284.199951,2.9065,,
2017-08-15,0.49,2.27,1273.699951,2.8845,,
2017-08-16,0.45,2.23,1276.900024,2.9545,,
2017-08-17,0.42,2.19,1286.400024,2.938,,
2017-08-18,0.43,2.19,1285.699951,2.9405,,
2017-08-21,0.43,2.18,1290.800049,2.981,,
2017-08-22,0.45,2.22,1285.099976,2.9865,,
2017-08-23,0.42,2.17,1288.900024,2.9805,,
2017-08-24,0.44,2.19,1286.5,3.0335,,
2017-08-25,0.42,2.17,1292.5,3.033,,
2017-08-28,0.41,2.16,1309.699951,3.065,,
2017-08-29,0.39,2.13,1313.099976,3.081,,
2017-08-30,0.39,2.15,1308.099976,3.0645,,
2017-08-31,0.36,2.12,1316.199951,3.079,,
2017-09-01,0.37,2.16,1324.5,3.098,,
2017-09-05,0.3,2.07,1339.199951,3.1075,,
2017-09-06,0.32,2.1,1333.900024,3.1315,,
2017-09-07,0.26,2.05,1345.099976,3.123,,
2017-09-08,0.25,2.06,1346.0,3.0215,,
2017-09-11,0.31,2.14,1331.0,3.046,,
2017-09-12,0.33,2.17,1328.0,3.0155,,
2017-09-13,0.35,2.2,1323.400024,2.961,,
2017-09-14,0.35,2.2,1324.699951,2.9365,,
2017-09-15,0.35,2.2,1320.400024,2.928,,
2017-09-18,0.36,2.23,1306.300049,2.949,,
2017-09-19,0.37,2.24,1306.199951,2.9495,,
2017-09-20,0.43,2.28,1312.0,2.9495,,
2017-09-21,0.44,2.27,1290.599976,2.914,,
2017-09-22,0.42,2.26,1293.300049,2.9245,,
2017-09-25,0.38,2.22,1306.800049,2.9175,,
2017-09-26,0.4,2.24,1297.0,2.8975,,
2017-09-27,0.44,2.31,1283.400024,2.911,,
2017-09-28,0.44,2.31,1285.5,2.9625,,
2017-09-29,0.49,2.33,1281.5,2.9375,,
2017-10-02,0.51,2.34,1272.699951,2.9395,,
2017-10-03,0.49,2.33,1271.5,2.9485,,
2017-10-04,0.48,2.33,1273.699951,2.9445,,
2017-10-05,0.49,2.35,1269.900024,3.0315,,
2017-10-06,0.5,2.37,1271.599976,3.0145,,
2017-10-10,0.47,2.35,1290.599976,3.0455,,
2017-10-11,0.46,2.35,1285.800049,3.08,,
2017-10-12,0.44,2.33,1293.300049,3.104,,
2017-10-13,0.43,2.28,1301.5,3.1185,,
2017-10-16,0.46,2.3,1299.900024,3.224,,
2017-10-17,0.48,2.3,1283.0,3.1805,,
2017-10-18,0.5,2.34,1279.900024,3.1635,,
2017-10-19,0.49,2.33,1286.900024,3.153,,
